"runtime","title","vote_average","vote_count","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","TV.Movie","War","Western","log_budget","log_revenue","title_length","age"
98,"Four Rooms",6.5,530,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2018049190842,15.2741255806638,10,8318
121,"Star Wars",8.1,6624,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.2134058307626,20.4688870129115,9,15090
100,"Finding Nemo",7.6,6122,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.3588053402343,20.6617473227272,12,5589
142,"Forrest Gump",8.2,7927,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17.8228437431967,20.3345773102134,12,8839
122,"American Beauty",7.9,3313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5235607590665,19.6912740908168,15,6942
140,"Dancer in the Dark",7.6,377,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.3649557288898,17.5051866696623,18,6697
126,"The Fifth Element",7.3,3885,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,18.3153202282945,19.3911572669092,17,7803
153,"Metropolis",8,657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18.3440156590169,13.3853766619819,10,33488
143,"Pirates of the Caribbean: The Curse of the Black Pearl",7.5,6985,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.7571529805736,20.3001629293306,54,5549
111,"Kill Bill: Vol. 1",7.7,4949,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2167079396264,19.0137257815703,17,5456
125,"Jarhead",6.6,765,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18.0921766769803,18.3890868517192,7,4700
153,"Apocalypse Now",8,2055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17.2654981037959,18.3093064148466,14,14278
87,"The Simpsons Movie",6.9,2264,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.1329986715006,20.0828417450309,18,4072
108,"Eternal Sunshine of the Spotless Mind",7.9,3652,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,16.8112428315183,18.0957553492207,37,5295
154,"Amores perros",7.6,521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14.5086577385242,16.8556647545135,13,6667
151,"Pirates of the Caribbean: Dead Man's Chest",7,5246,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.1138279245123,20.7868599860551,42,4472
96,"A History of Violence",6.9,832,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17.281246460764,17.9221266328991,21,4742
149,"2001: A Space Odyssey",7.9,2998,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16.1668858151278,18.0452597571926,21,18422
110,"8 Mile",6.8,1626,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5290826246686,19.1861485860919,6,5792
121,"Absolute Power",6.4,223,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17.7275335633924,17.7288988309903,14,7885
136,"Walk the Line",7.3,718,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,17.1477150681395,19.0436140382473,13,4752
132,"Million Dollar Baby",7.7,2439,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2167079396264,19.1943181289673,19,5024
110,"Billy Elliot",7.4,750,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.4249484703984,18.5159909237567,12,6696
119,"American History X",8.2,3016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8112428315183,16.9883477636886,18,7262
116,"War of the Worlds",6.2,2322,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18.6983124805506,20.1985768577393,17,4829
106,"Mars Attacks!",6.1,1509,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,18.0640058000136,18.4342977798623,13,7949
