"","end_result","game","game_id","period","play","player","playoffs","score","season","shot_made","time","home_game","score1","score2","cur_score","opp_score","first_shot","missed_first","made_first","cur_time","losing","losing_alot","score_ratio","loss_sq","win_sq","prod1"
"1","108 - 66","CHI - MIA",261031014,3,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","69 - 46","2006 - 2007",0,"3:34",0,69,46,46,69,1,0,0,214,TRUE,TRUE,0.657142857142857,1156,1024,0
"2","108 - 66","CHI - MIA",261031014,3,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","69 - 47","2006 - 2007",1,"3:34",0,69,47,46,69,0,1,0,214,TRUE,TRUE,0.657142857142857,1156,1024,0
"3","85 - 91","NJ - MIA",261103014,1,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","5 - 10","2006 - 2007",0,"8:30",0,5,10,10,5,1,0,0,510,FALSE,FALSE,1.66666666666667,1156,1024,0
"4","85 - 91","NJ - MIA",261103014,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","36 - 33","2006 - 2007",0,"3:58",0,36,33,33,36,1,0,0,238,TRUE,FALSE,0.891891891891892,1156,1024,0
"5","85 - 91","NJ - MIA",261103014,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","36 - 34","2006 - 2007",1,"3:58",0,36,34,33,36,0,1,0,238,TRUE,FALSE,0.891891891891892,1156,1024,0
"6","113 - 106","MIA - NJ",261110017,2,"Shaquille O'Neal misses free throw 1 of 2","Shaquille O'Neal","regular","35 - 49","2006 - 2007",0,"2:58",1,35,49,35,49,1,0,0,178,TRUE,FALSE,0.7,1156,1024,0
"7","113 - 106","MIA - NJ",261110017,2,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","36 - 49","2006 - 2007",1,"2:58",1,36,49,35,49,0,1,0,178,TRUE,FALSE,0.7,1156,1024,0
"8","113 - 106","MIA - NJ",261110017,4,"Shaquille O'Neal makes free throw 1 of 2","Shaquille O'Neal","regular","97 - 93","2006 - 2007",1,"2:49",1,97,93,96,93,1,0,0,169,FALSE,FALSE,1.02127659574468,1156,1024,0
"9","113 - 106","MIA - NJ",261110017,4,"Shaquille O'Neal makes free throw 2 of 2","Shaquille O'Neal","regular","98 - 93","2006 - 2007",1,"2:49",1,98,93,97,93,0,0,1,169,FALSE,FALSE,1.03191489361702,1156,1024,1
"10","94 - 72","HOU - MIA",261112014,1,"Shaquille O'Neal misses free throw 1 of 1","Shaquille O'Neal","regular","6 - 6","2006 - 2007",0,"9:57",0,6,6,6,6,1,0,0,597,FALSE,FALSE,0.857142857142857,1156,1024,0
